tid,cls,row,col,class_name
0,0,106,4835,adult_males
0,0,309,2609,adult_males
0,0,412,2891,adult_males
0,0,431,1823,adult_males
0,0,449,3309,adult_males
0,0,472,4105,adult_males
0,0,603,2727,adult_males
0,0,805,1873,adult_males
0,0,855,2146,adult_males
0,0,974,4366,adult_males
0,0,989,3565,adult_males
0,0,1061,1368,adult_males
0,0,1117,2290,adult_males
0,0,1227,2554,adult_males
0,0,1379,1986,adult_males
0,0,1393,3414,adult_males
0,0,1421,1847,adult_males
0,0,1516,2525,adult_males
0,0,1570,1361,adult_males
0,0,1597,1864,adult_males
0,0,1666,2465,adult_males
0,0,1672,3710,adult_males
0,0,1680,2326,adult_males
0,0,1717,4650,adult_males
0,0,1792,1328,adult_males
0,0,1803,4926,adult_males
0,0,1860,3750,adult_males
0,0,1865,1671,adult_males
0,0,1872,2127,adult_males
0,0,1892,2972,adult_males
0,0,1925,3910,adult_males
0,0,1952,1221,adult_males
0,0,2016,2540,adult_males
0,0,2133,2292,adult_males
0,0,2196,1952,adult_males
0,0,2321,3277,adult_males
0,0,2327,2773,adult_males
0,0,2388,2257,adult_males
0,0,2416,1545,adult_males
0,0,2447,4036,adult_males
0,0,2446,4791,adult_males
0,0,2516,3786,adult_males
0,0,2585,1409,adult_males
0,0,2610,2174,adult_males
0,0,2801,3396,adult_males
0,0,2907,4085,adult_males
0,0,2995,1937,adult_males
0,0,2997,4449,adult_males
0,0,3040,687,adult_males
0,0,3041,2841,adult_males
0,0,3081,4260,adult_males
0,0,3099,2556,adult_males
0,0,3209,1917,adult_males
0,0,3210,3822,adult_males
0,0,3257,2273,adult_males
0,0,3342,867,adult_males
0,0,3433,2911,adult_males
0,0,3434,3506,adult_males
0,0,3451,4106,adult_males
0,0,3476,4720,adult_males
0,0,3539,3638,adult_males
0,0,3727,2353,adult_males
0,1,762,2836,subadult_males
0,1,1116,2864,subadult_males
0,1,1249,4974,subadult_males
0,1,1330,2754,subadult_males
0,1,1480,1040,subadult_males
0,1,1504,4978,subadult_males
0,1,1947,5324,subadult_males
0,1,1969,3531,subadult_males
0,1,2627,630,subadult_males
0,1,2650,5135,subadult_males
0,1,3094,4018,subadult_males
0,1,3178,1437,subadult_males
0,2,42,4240,adult_females
0,2,74,3833,adult_females
0,2,94,4470,adult_females
0,2,102,2946,adult_females
0,2,104,4750,adult_females
0,2,110,2724,adult_females
0,2,112,3925,adult_females
0,2,140,3700,adult_females
0,2,149,4575,adult_females
0,2,158,2642,adult_females
0,2,164,3860,adult_females
0,2,167,2141,adult_females
0,2,168,4523,adult_females
0,2,182,4803,adult_females
0,2,184,3028,adult_females
0,2,187,2481,adult_females
0,2,194,3384,adult_females
0,2,194,3749,adult_females
0,2,202,2090,adult_females
0,2,206,2746,adult_females
0,2,208,2912,adult_females
0,2,211,2814,adult_females
0,2,215,2330,adult_females
0,2,220,3919,adult_females
0,2,224,3829,adult_females
0,2,225,3513,adult_females
0,2,227,2560,adult_females
0,2,238,3252,adult_females
0,2,244,2063,adult_females
0,2,256,3407,adult_females
